case,tensor_count,op_count,compute_op_count,edge_count,compute_cycles_total,compute_only_critical_path_cycles,op_dependency_depth,copy_in_ops,copy_out_ops,original_graph_copy_bytes,multi_consumer_tensor_count,multi_consumer_tensor_bytes,topological_order_l1_live_bytes_estimate,topological_order_ub_live_bytes_estimate,PIPE_M_compute_cycles,PIPE_V_compute_cycles,PIPE_MTE2_compute_cycles,PIPE_MTE3_compute_cycles
case_001,1202,1001,600,2402,263200,1316,5,201,200,1639552,201,820352,9344,823296,232800,30400,0,0
case_002,2595,2197,1798,5392,275928,2976,26,398,1,1224192,199,916992,7680,307200,240000,35928,0,0
case_003,13868,13670,13455,36295,763981,28285,307,198,17,1284264,3733,2764300,172416,50214,438792,325189,0,0
case_004,1116,1002,777,2670,433566,2748,8,114,111,792576,225,1133568,125952,350208,385614,47952,0,0
case_005,4298,4209,4113,11187,124812,6894,140,89,7,333414,1237,1230054,103584,42294,63882,60930,0,0
case_006,982,851,678,1995,87660,2836,24,131,42,543348,98,477734,196608,131094,18660,69000,0,0
case_007,5556,4998,3885,13326,1232100,1632,8,558,555,1732608,1113,2585088,35328,857088,979020,253080,0,0
case_008,1836,1404,864,3348,487296,4512,10,432,108,2654424,216,3981312,694272,37056,250128,237168,0,0
case_009,6376,6058,5671,15754,185152,9965,368,318,69,495332,1648,790644,38400,114762,65160,119992,0,0
case_010,889,796,667,1899,100106,3146,64,93,36,384150,116,493314,229376,32802,44610,55496,0,0
case_011,1056,880,688,2448,209984,2120,24,176,16,606208,176,540672,561152,0,184448,25536,0,0
case_012,1555,1304,972,3131,67809,2506,21,251,81,554898,152,329474,23808,119822,35572,32237,0,0
case_013,4190,3202,1968,8126,307008,400,6,988,246,2527232,4,8192,518144,0,263712,43296,0,0
case_014,40287,38666,35705,108272,18877172,31968,126,1621,1340,9932740,1759,10070616,5157888,2778,17225748,1651424,0,0
case_015,1501,1290,1013,3107,196477,7913,31,211,66,884614,169,885376,196608,270418,94980,101497,0,0
case_016,18020,18008,17995,43019,7714975,655140,2442,12,1,393218,316,393824,393216,65558,0,7714975,0,0
case_017,2015,1758,1373,4245,177802,5980,20,257,128,643862,238,617038,95232,183394,110600,67202,0,0
case_018,3717,3285,2727,8718,1084051,3539,30,432,126,1592848,294,1676288,1323008,106732,971320,112731,0,0
case_019,854,766,647,1841,88712,12234,81,88,31,186984,117,398880,32768,28722,48436,40276,0,0
case_020,7872,7584,7008,18048,532608,1824,26,288,288,2359296,1632,6684672,0,1208320,0,532608,0,0
case_021,4900,4450,3920,12820,6975360,5544,9,450,80,3338240,450,2355200,2748416,0,6192000,783360,0,0
case_022,1705,1567,1356,3720,58571,1986,38,138,73,213686,204,422966,22528,90246,4484,54087,0,0
case_023,1336,1202,1011,2869,132942,4218,33,134,57,443444,213,736690,84480,49210,63384,69558,0,0
case_024,5984,5972,5959,14255,2554795,216948,810,12,1,393218,112,393416,393216,65558,0,2554795,0,0
case_025,26666,23997,18662,63990,5918520,1632,8,2669,2666,8217600,5335,12312576,35328,4099584,4702824,1215696,0,0
case_026,871,769,636,1849,111760,4319,51,102,31,528854,100,665016,163840,138258,40992,70768,0,0
case_027,2160,1800,1424,5024,2516352,21048,47,360,16,2039808,360,1843200,1904640,0,2229120,287232,0,0
case_028,20151,19944,19584,51822,40950144,246816,126,207,153,5908608,3726,20244096,4053120,0,38974608,1975536,0,0
case_029,1281,1113,861,2772,37485,407,14,168,84,430164,189,258174,0,180230,0,37485,0,0
case_030,11940,11248,10070,30954,3183302,1494,14,692,486,2394060,596,1950720,1961984,1104,2776480,406822,0,0
case_031,7365,6805,6135,18435,1555517,13057,138,560,110,2185040,1246,2878502,1812480,98512,1334492,221025,0,0
case_032,1186,1035,827,2469,44145,1146,32,151,57,293088,110,177788,40960,92174,10150,33995,0,0
case_033,4572,4069,3465,11073,1920150,6300,36,503,101,2972910,492,2477112,2234880,144558,1728108,192042,0,0
case_034,5144,4545,3745,11907,944116,3677,26,599,201,2280386,532,1906230,610304,458914,749160,194956,0,0
case_035,4538,4237,3857,10712,206101,17200,335,301,79,410854,934,979822,73728,92690,62192,143909,0,0
case_036,4802,4001,2400,9602,1052800,1316,5,801,800,6554752,801,3277952,9344,3280896,931200,121600,0,0
case_037,1160,980,780,2740,238480,904,8,180,20,614400,180,532480,626688,0,209600,28880,0,0
case_038,7649,6843,5907,18941,1492776,8754,38,806,130,2802950,851,2996224,1474560,57344,1325000,167776,0,0
case_039,6612,5966,5250,17182,1476300,784,10,646,70,4489216,646,4202496,4382720,0,1377880,98420,0,0
case_040,3647,3381,3083,8621,297723,16120,231,266,32,911238,730,1188396,245760,106550,111972,185751,0,0
case_041,19210,18149,16594,51024,6502990,1767,51,1061,494,4949980,1065,4932624,3398656,9192,5895240,607750,0,0
case_042,5853,5345,4733,14855,1825102,5685,55,508,104,2388964,518,2379560,2033664,57534,1599076,226026,0,0
case_043,10140,9756,9309,25867,861593,27474,204,384,63,1431122,2611,3893920,519168,172136,517752,343841,0,0
case_044,1497,1436,1364,3686,84392,7672,126,61,11,975456,314,1147232,956448,0,74404,9988,0,0
case_045,1855,1787,1651,4253,125476,1824,26,68,68,557056,385,1576960,0,307200,0,125476,0,0
case_046,1116,1058,992,2708,227648,28456,126,58,8,1061472,242,1561184,1011744,0,209248,18400,0,0
case_047,14259,13988,13710,37206,413130,19990,462,271,7,463942,3984,1730310,47808,19750,153760,259370,0,0
case_048,2069,1900,1728,4961,259596,75960,371,169,3,414790,598,756214,45760,15430,139536,120060,0,0
case_049,4609,4465,4303,11684,261179,8921,188,144,18,152540,1159,1411116,43104,31302,95464,165715,0,0
case_050,4969,4781,4555,12462,185379,6829,188,188,38,319376,1265,1064638,31072,122950,51968,133411,0,0
case_051,1441,1429,1416,3398,607080,51552,194,12,1,393218,35,393262,393216,65558,0,607080,0,0
case_052,1606,1347,1008,3272,204123,3665,19,259,80,810204,149,497200,115200,81966,141528,62595,0,0
case_053,12377,12046,11670,31833,1556802,56912,243,331,45,2995288,3299,5006518,1069568,58098,1212726,344076,0,0
case_054,16484,16133,15751,42855,1014888,20291,356,351,31,1606276,4413,3471718,294912,41014,574216,440672,0,0
case_055,1641,1468,1236,3467,130845,6962,30,173,59,625810,140,453688,81920,196630,61796,69049,0,0
case_056,8157,7936,7678,20894,376969,13737,302,221,37,221600,2172,2032818,44128,73772,131016,245953,0,0
case_057,1180,1053,865,2563,61627,8189,103,127,61,342460,132,334556,17280,231046,14062,47565,0,0
case_058,18942,17886,16575,52347,4669050,746,9,1056,255,7667712,1056,6623232,6815744,0,4358970,310080,0,0
case_059,3520,3168,2752,9088,839936,2120,24,352,64,1343488,352,1081344,1118208,0,737792,102144,0,0
case_060,6752,6086,5281,16435,993771,4252,43,666,139,2099006,766,2664130,1026048,540726,720232,273539,0,0
case_061,1709,1450,1115,3505,99028,11506,47,259,76,544188,132,212022,70400,51230,71456,27572,0,0
case_062,28361,23999,19636,58906,3011088,3120,30,4362,1,13401600,2181,10050048,7680,3351552,2618400,392688,0,0
case_063,10629,8995,7360,22078,1128768,3048,28,1634,1,5021184,817,3764736,7680,1256448,981600,147168,0,0
case_064,1034,972,906,2550,23052,3528,125,62,4,37414,295,105734,13920,5158,7308,15744,0,0
case_065,1067,914,704,2164,57778,1265,30,153,57,316202,126,208052,64512,49214,28260,29518,0,0
